exposed_variables | time (ms),exposed_variables | h (dimensionless),exposed_variables | i_K (uA_per_mm2),exposed_variables | i_Leak (uA_per_mm2),exposed_variables | i_Na (uA_per_mm2),exposed_variables | m (dimensionless),exposed_variables | n (dimensionless),exposed_variables | V (mV)
0,0.785,0.232562,0,-0.203986,0.05,0.0935,-73.8
1,0.77049,0.233413,0,-0.264883,0.0671117,0.0935685,-73.6063
2,0.756632,0.234564,0,-0.266901,0.0680767,0.0936412,-73.3405
3,0.743289,0.235733,0,-0.269109,0.0690794,0.0937184,-73.0669
4,0.730356,0.236922,0,-0.271544,0.0701302,0.0938003,-72.7837
5,0.717736,0.238139,0,-0.274236,0.0712376,0.0938872,-72.4892
6,0.705333,0.239389,0,-0.277222,0.072411,0.0939795,-72.1813
7,0.693052,0.240679,0,-0.280544,0.073662,0.0940773,-71.8578
8,0.680797,0.242015,0,-0.284256,0.0750037,0.0941811,-71.516
9,0.66847,0.243406,0,-0.288425,0.0764524,0.0942914,-71.1527
10,0.655965,0.24486,0,-0.293134,0.0780273,0.0944088,-70.7643
11,0.643172,0.246387,0,-0.298489,0.0797523,0.0945338,-70.3465
12,0.629967,0.247998,0,-0.304627,0.0816569,0.0946674,-69.894
13,0.616211,0.249704,0,-0.311726,0.0837787,0.0948104,-69.4003
14,0.601745,0.251522,0,-0.320023,0.0861657,0.0949641,-68.8573
15,0.586381,0.253467,0,-0.32984,0.0888809,0.0951298,-68.2547
16,0.569892,0.255561,0,-0.341628,0.092009,0.0953094,-67.5793
17,0.551996,0.257825,0,-0.356026,0.0956659,0.0955052,-66.8135
18,0.532338,0.260288,0,-0.373985,0.100016,0.0957202,-65.9333
19,0.510455,0.262983,0,-0.396963,0.1053,0.0959585,-64.9052
20,0.485727,0.265947,0,-0.427318,0.111888,0.0962255,-63.6806
21,0.457289,0.269221,0,-0.469088,0.120376,0.0965293,-62.1851
22,0.423897,0.272841,0,-0.529753,0.131796,0.0968821,-60.2986
23,0.383669,0.276811,0,-0.624628,0.148109,0.0973034,-57.8108
24,0.333622,0.281008,0,-0.789758,0.173535,0.0978287,-54.3121
25,0.268948,0.284811,0,-1.12902,0.219033,0.098531,-48.8669
26,0.183602,0.285365,0,-2.05809,0.322985,0.0996007,-38.7187
27,0.0884655,0.269971,0,-6.11194,0.69375,0.101782,-11.1234
28,0.0334647,0.279787,0,-1.84863,0.997833,0.107258,26.2443
29,0.0125799,0.288657,0,-0.438601,0.999769,0.114306,31.5139
30,0.00487437,0.288612,0,-0.178533,0.999782,0.121459,31.4515
31,0.00205046,0.286274,0,-0.094645,0.999726,0.128481,30.1361
32,0.00103276,0.283411,0,-0.0640975,0.999625,0.135307,28.4016
33,0.000684827,0.280633,0,-0.0556543,0.999472,0.141919,26.5406
34,0.00058665,0.278153,0,-0.057323,0.999257,0.148318,24.6786
35,0.000582693,0.276027,0,-0.0637766,0.998967,0.154508,22.8721
36,0.000615036,0.274247,0,-0.0725807,0.998587,0.160501,21.1465
37,0.000661956,0.272783,0,-0.0826177,0.998104,0.166307,19.5135
38,0.000715063,0.271599,0,-0.093348,0.997505,0.171938,17.9782
39,0.000770893,0.270658,0,-0.104475,0.996783,0.177403,16.543
40,0.000827757,0.269926,0,-0.115796,0.995933,0.182716,15.2085
41,0.000884721,0.269372,0,-0.127154,0.994959,0.187885,13.9738
42,0.000941069,0.268969,0,-0.138406,0.993869,0.192922,12.8374
43,0.000996204,0.268692,0,-0.149418,0.992676,0.197837,11.7967
44,0.00104962,0.268521,0,-0.160075,0.991402,0.202638,10.8483
45,0.00110088,0.268437,0,-0.170277,0.990068,0.207336,9.98782
46,0.00114963,0.268426,0,-0.179944,0.988698,0.211937,9.21058
47,0.00119559,0.268474,0,-0.189018,0.987318,0.21645,8.51131
48,0.00123859,0.268571,0,-0.197461,0.985951,0.220882,7.88443
49,0.00127852,0.26871,0,-0.205257,0.984613,0.22524,7.32422
50,0.00131535,0.268883,0,-0.212406,0.983326,0.229529,6.82498
51,0.00134913,0.269085,0,-0.218922,0.982099,0.233754,6.3811
52,0.00137994,0.269312,0,-0.22483,0.980942,0.237921,5.98717
53,0.00140791,0.26956,0,-0.230163,0.979862,0.242034,5.63808
54,0.0014332,0.269828,0,-0.23496,0.978859,0.246096,5.32901
55,0.00145601,0.270113,0,-0.239263,0.977935,0.250112,5.05553
56,0.00147651,0.270414,0,-0.243114,0.977088,0.254083,4.81356
57,0.00149491,0.27073,0,-0.246556,0.976314,0.258013,4.59936
58,0.0015114,0.27106,0,-0.249629,0.975609,0.261905,4.40959
59,0.00152618,0.271405,0,-0.252374,0.974969,0.265759,4.24122
60,0.00153942,0.271762,0,-0.254826,0.974388,0.269578,4.09156
61,0.00155129,0.272134,0,-0.25702,0.97386,0.273364,3.9582
62,0.00156195,0.272518,0,-0.258986,0.97338,0.277118,3.839
63,0.00157154,0.272915,0,-0.260752,0.972944,0.280841,3.73207
64,0.0015802,0.273326,0,-0.262345,0.972546,0.284535,3.63576
65,0.00158804,0.27375,0,-0.263786,0.972182,0.2882,3.54859
66,0.00159517,0.274187,0,-0.265096,0.971847,0.291837,3.46929
67,0.00160168,0.274637,0,-0.266292,0.971538,0.295446,3.39673
68,0.00160766,0.275101,0,-0.267392,0.971251,0.299029,3.32991
69,0.00161319,0.275577,0,-0.268408,0.970983,0.302587,3.26798
70,0.00161833,0.276068,0,-0.269353,0.970732,0.306119,3.21018
71,0.00162314,0.276572,0,-0.270238,0.970494,0.309626,3.15586
72,0.00162767,0.277089,0,-0.271073,0.970268,0.313108,3.10444
73,0.00163196,0.27762,0,-0.271865,0.970051,0.316566,3.05543
74,0.00163607,0.278165,0,-0.272623,0.969842,0.320001,3.0084
75,0.00164002,0.278723,0,-0.273353,0.969639,0.323411,2.96296
76,0.00164384,0.279295,0,-0.274059,0.969441,0.326799,2.91879
77,0.00164756,0.279881,0,-0.274748,0.969246,0.330163,2.87561
78,0.00165121,0.28048,0,-0.275423,0.969054,0.333505,2.83317
79,0.0016548,0.281093,0,-0.276087,0.968863,0.336824,2.79125
80,0.00165835,0.28172,0,-0.276745,0.968674,0.34012,2.74967
81,0.00166188,0.282361,0,-0.277399,0.968484,0.343395,2.70828
82,0.00166541,0.283016,0,-0.278051,0.968293,0.346647,2.66693
83,0.00166893,0.283684,0,-0.278703,0.968101,0.349877,2.6255
84,0.00167247,0.284365,0,-0.279358,0.967908,0.353085,2.58389
85,0.00167603,0.285061,0,-0.280016,0.967712,0.356272,2.54201
86,0.00167962,0.28577,0,-0.28068,0.967513,0.359437,2.49978
87,0.00168325,0.286492,0,-0.281349,0.967312,0.362581,2.45715
88,0.00168692,0.287228,0,-0.282026,0.967108,0.365704,2.41405
89,0.00169064,0.287978,0,-0.282711,0.9669,0.368805,2.37043
90,0.00169441,0.28874,0,-0.283405,0.966688,0.371885,2.32627
91,0.00169824,0.289516,0,-0.284109,0.966472,0.374945,2.28151
92,0.00170213,0.290305,0,-0.284823,0.966252,0.377983,2.23614
93,0.00170608,0.291107,0,-0.285547,0.966028,0.381001,2.19013
94,0.0017101,0.291923,0,-0.286282,0.965799,0.383998,2.14345
95,0.00171418,0.292751,0,-0.287028,0.965566,0.386975,2.09611
96,0.00171833,0.293591,0,-0.287785,0.965328,0.389931,2.04807
97,0.00172256,0.294445,0,-0.288555,0.965085,0.392867,1.99934
98,0.00172685,0.295311,0,-0.289336,0.964836,0.395782,1.9499
99,0.00173122,0.296189,0,-0.290129,0.964583,0.398678,1.89975
100,0.00173567,0.29708,0,-0.290934,0.964325,0.401554,1.84889
101,0.00174019,0.297983,0,-0.291751,0.964062,0.404409,1.79732
102,0.00174478,0.298898,0,-0.29258,0.963793,0.407245,1.74503
103,0.00174946,0.299825,0,-0.293422,0.963518,0.410061,1.69203
104,0.00175421,0.300763,0,-0.294275,0.963239,0.412858,1.63832
